defense,clean_recall@1,clean_recall@5,clean_recall@10,adversarial_recall@1,adversarial_recall@5,adversarial_recall@10
clean,0.658203125,0.943359375,0.95703125,0.658203125,0.943359375,0.95703125
adversarial,0.0458984375,0.1669921875,0.298828125,0.0458984375,0.1669921875,0.298828125
CP Final Norm (alpha=0.1),0.0625,0.2607421875,0.396484375,0.0625,0.2607421875,0.396484375
CP Final Norm (alpha=0.2),0.0634765625,0.2470703125,0.396484375,0.0634765625,0.2470703125,0.396484375
CP Final Norm (alpha=0.3),0.060546875,0.244140625,0.3984375,0.060546875,0.244140625,0.3984375
CP Final Norm (alpha=0.4),0.0615234375,0.240234375,0.39453125,0.0615234375,0.240234375,0.39453125
CP Final Norm (alpha=0.5),0.0576171875,0.2294921875,0.37890625,0.0576171875,0.2294921875,0.37890625
CP Final Norm (alpha=0.6),0.0556640625,0.216796875,0.376953125,0.0556640625,0.216796875,0.376953125
CP Final Norm (alpha=0.7),0.0498046875,0.197265625,0.361328125,0.0498046875,0.197265625,0.361328125
CP Final Norm (alpha=0.8),0.0478515625,0.1904296875,0.3447265625,0.0478515625,0.1904296875,0.3447265625
CP Final Norm (alpha=0.9),0.0498046875,0.17578125,0.3212890625,0.0498046875,0.17578125,0.3212890625
