defense,clean_recall@1,clean_recall@5,clean_recall@10,adversarial_recall@1,adversarial_recall@5,adversarial_recall@10
clean,0.658203125,0.943359375,0.95703125,0.658203125,0.943359375,0.95703125
adversarial,0.0458984375,0.1669921875,0.298828125,0.0458984375,0.1669921875,0.298828125
Tucker Alpha 0.1,0.0615234375,0.2509765625,0.404296875,0.0615234375,0.2509765625,0.404296875
Tucker Alpha 0.2,0.0576171875,0.2451171875,0.4013671875,0.0576171875,0.2451171875,0.4013671875
Tucker Alpha 0.3,0.0576171875,0.23828125,0.3974609375,0.0576171875,0.23828125,0.3974609375
Tucker Alpha 0.4,0.0576171875,0.2333984375,0.3896484375,0.0576171875,0.2333984375,0.3896484375
Tucker Alpha 0.5,0.056640625,0.224609375,0.3818359375,0.056640625,0.224609375,0.3818359375
Tucker Alpha 0.6,0.052734375,0.2177734375,0.3720703125,0.052734375,0.2177734375,0.3720703125
Tucker Alpha 0.7,0.0478515625,0.2001953125,0.361328125,0.0478515625,0.2001953125,0.361328125
Tucker Alpha 0.8,0.0478515625,0.18359375,0.341796875,0.0478515625,0.18359375,0.341796875
Tucker Alpha 0.9,0.048828125,0.1767578125,0.3203125,0.048828125,0.1767578125,0.3203125
