defense,clean_recall@1,clean_recall@5,clean_recall@10,adversarial_recall@1,adversarial_recall@5,adversarial_recall@10
clean,0.658203125,0.943359375,0.95703125,0.658203125,0.943359375,0.95703125
adversarial,0.0458984375,0.1669921875,0.298828125,0.0458984375,0.1669921875,0.298828125
TT Rank 8,0.064453125,0.2490234375,0.396484375,0.064453125,0.2490234375,0.396484375
TT Rank 16,0.0634765625,0.2509765625,0.4033203125,0.0634765625,0.2509765625,0.4033203125
TT Rank 32,0.0595703125,0.2451171875,0.4013671875,0.0595703125,0.2451171875,0.4013671875
TT Rank 48,0.0576171875,0.2451171875,0.3984375,0.0576171875,0.2451171875,0.3984375
TT Rank 64,0.05859375,0.2392578125,0.3955078125,0.05859375,0.2392578125,0.3955078125
TT Rank 80,0.0576171875,0.2314453125,0.392578125,0.0576171875,0.2314453125,0.392578125
TT Rank 96,0.056640625,0.224609375,0.3837890625,0.056640625,0.224609375,0.3837890625
TT Rank 256,0.0478515625,0.1796875,0.3349609375,0.0478515625,0.1796875,0.3349609375
TT Rank 512,0.044921875,0.1689453125,0.3046875,0.044921875,0.1689453125,0.3046875
