defense,clean_recall@1,clean_recall@5,clean_recall@10,adversarial_recall@1,adversarial_recall@5,adversarial_recall@10
clean,0.9253102838993073,0.9986702127659575,0.9996675531914894,0.9253102838993073,0.9986702127659575,0.9996675531914894
adversarial,0.07468971633847724,0.22484485820886937,0.36003989361702127,0.07468971633847724,0.22484485820886937,0.36003989361702127
CP Norm R=16,0.10693705676400915,0.2969858156556779,0.43351063829787234,0.10693705676400915,0.2969858156556779,0.43351063829787234
CP Norm R=32,0.10660460995549852,0.295988475230146,0.4315159574468085,0.10660460995549852,0.295988475230146,0.4315159574468085
CP Norm R=64,0.10760195038103043,0.2936613475705715,0.4326241136865413,0.10760195038103043,0.2936613475705715,0.4326241136865413
CP Norm R=128,0.10427748229592404,0.2883421986344013,0.42863475198441364,0.10427748229592404,0.2883421986344013,0.42863475198441364
CP Norm alpha=0.1,0.10593971633847724,0.2983156028897204,0.43395390076206086,0.10593971633847724,0.2983156028897204,0.43395390076206086
CP Norm alpha=0.3,0.10627216314698787,0.2969858156556779,0.4321808510638298,0.10627216314698787,0.2969858156556779,0.4321808510638298
CP Norm alpha=0.5,0.10427748229592404,0.2883421986344013,0.4224290781198664,0.10427748229592404,0.2883421986344013,0.4224290781198664
CP Norm alpha=0.7,0.09496897165762617,0.2690602837407843,0.40381205684327065,0.09496897165762617,0.2690602837407843,0.40381205684327065
CP Attention,0.09995567378528575,0.27881205684327065,0.42431294347377535,0.09995567378528575,0.27881205684327065,0.42431294347377535
CP MLP,0.09230939718954106,0.2709441489361702,0.4116799647503711,0.09230939718954106,0.2709441489361702,0.4116799647503711
Tucker Norm,0.1039450354874134,0.2816932624641885,0.4179964541120732,0.1039450354874134,0.2816932624641885,0.4179964541120732
CP Multi-Layer (2 Layers),0.1368572695299666,0.34441489361702127,0.4923537234042553,0.1368572695299666,0.34441489361702127,0.4923537234042553
CP Multi-Layer (Last 5 Layers),0.11890514194965363,0.3699024823751855,0.5697030146071251,0.11890514194965363,0.3699024823751855,0.5697030146071251
