defense,clean_recall@1,clean_recall@5,clean_recall@10,adversarial_recall@1,adversarial_recall@5,adversarial_recall@10
clean,0.9375,0.7421875,0.75,0.9375,0.7421875,0.75
adversarial,0.2265625,0.265625,0.3671875,0.2265625,0.265625,0.3671875
"CP Final Norm (R=64, alpha=0.5)",0.28125,0.3125,0.390625,0.28125,0.3125,0.390625
"CP Attention (R=64, alpha=0.5)",0.265625,0.2890625,0.375,0.265625,0.2890625,0.375
"CP MLP (R=64, alpha=0.5)",0.25,0.2890625,0.3828125,0.25,0.2890625,0.3828125
"Tucker Final Norm (R=64, alpha=0.5)",0.2734375,0.296875,0.3828125,0.2734375,0.296875,0.3828125
"CP Final Norm (R=64, alpha=0.3)",0.296875,0.3046875,0.4140625,0.296875,0.3046875,0.4140625
"CP Final Norm (R=64, alpha=0.7)",0.2734375,0.296875,0.3828125,0.2734375,0.296875,0.3828125
"CP Final Norm (R=32, alpha=0.5)",0.2890625,0.3125,0.40625,0.2890625,0.3125,0.40625
"CP Final Norm (R=128, alpha=0.5)",0.2734375,0.3125,0.3828125,0.2734375,0.3125,0.3828125
CP Multi-Layer (2 Layers),0.359375,0.34375,0.4453125,0.359375,0.34375,0.4453125
