defense,clean_recall@1,clean_recall@5,clean_recall@10,adversarial_recall@1,adversarial_recall@5,adversarial_recall@10
clean,0.92578125,0.998046875,0.96875,0.92578125,0.998046875,0.96875
adversarial,0.0751953125,0.2451171875,0.3515625,0.0751953125,0.2451171875,0.3515625
TT Alpha 0.1,0.10546875,0.3046875,0.42578125,0.10546875,0.3046875,0.42578125
TT Alpha 0.2,0.1044921875,0.3037109375,0.4248046875,0.1044921875,0.3037109375,0.4248046875
TT Alpha 0.3,0.1064453125,0.306640625,0.423828125,0.1064453125,0.306640625,0.423828125
TT Alpha 0.4,0.103515625,0.302734375,0.4189453125,0.103515625,0.302734375,0.4189453125
TT Alpha 0.5,0.1005859375,0.2958984375,0.4072265625,0.1005859375,0.2958984375,0.4072265625
TT Alpha 0.6,0.0966796875,0.2919921875,0.3994140625,0.0966796875,0.2919921875,0.3994140625
TT Alpha 0.7,0.08984375,0.287109375,0.3916015625,0.08984375,0.287109375,0.3916015625
TT Alpha 0.8,0.0830078125,0.2724609375,0.3818359375,0.0830078125,0.2724609375,0.3818359375
TT Alpha 0.9,0.0791015625,0.2607421875,0.3671875,0.0791015625,0.2607421875,0.3671875
