defense,clean_recall@1,clean_recall@5,clean_recall@10,adversarial_recall@1,adversarial_recall@5,adversarial_recall@10
clean,0.92578125,0.998046875,0.96875,0.92578125,0.998046875,0.96875
adversarial,0.0751953125,0.2451171875,0.3515625,0.0751953125,0.2451171875,0.3515625
TT Rank 8,0.107421875,0.3046875,0.4228515625,0.107421875,0.3046875,0.4228515625
TT Rank 16,0.107421875,0.3037109375,0.423828125,0.107421875,0.3037109375,0.423828125
TT Rank 32,0.1044921875,0.3037109375,0.4248046875,0.1044921875,0.3037109375,0.4248046875
TT Rank 48,0.10546875,0.306640625,0.423828125,0.10546875,0.306640625,0.423828125
TT Rank 64,0.1044921875,0.3046875,0.421875,0.1044921875,0.3046875,0.421875
TT Rank 80,0.1015625,0.302734375,0.4208984375,0.1015625,0.302734375,0.4208984375
TT Rank 96,0.099609375,0.2978515625,0.4130859375,0.099609375,0.2978515625,0.4130859375
TT Rank 256,0.08203125,0.2685546875,0.384765625,0.08203125,0.2685546875,0.384765625
TT Rank 512,0.076171875,0.248046875,0.35546875,0.076171875,0.248046875,0.35546875
